  PERMNO        date            mcd        vwretd        ewretd        sprtrn
   43449    19951229       0.011204      0.015190      0.008928      0.017444
   43449    19960131       0.113573      0.028144      0.034657      0.032617
   43449    19960229      -0.003632      0.016310      0.032305      0.006934
   43449    19960329      -0.040000      0.010927      0.024086      0.007917
   43449    19960430      -0.002604      0.025511      0.058049      0.013431
   43449    19960531       0.006789      0.026800      0.062615      0.022853
   43449    19960628      -0.028571     -0.008298     -0.032167      0.002257
   43449    19960731      -0.008021     -0.053819     -0.079602     -0.045748
   43449    19960830       0.001617      0.032463      0.045634      0.018814
   43449    19960930       0.021563      0.053035      0.028753      0.054173
   43449    19961031      -0.060686      0.013739     -0.020842      0.026131
   43449    19961129       0.052247      0.065569      0.024696      0.073376
   43449    19961231      -0.029412     -0.011388     -0.002604     -0.021505
   43449    19970131       0.002755      0.053473      0.063831      0.061317
   43449    19970228      -0.047802     -0.001122     -0.010299      0.005928
   43449    19970331       0.092486     -0.044868     -0.049224     -0.042614
   43449    19970430       0.132275      0.042373     -0.021596      0.058406
   43449    19970530      -0.059206      0.071624      0.085194      0.058577
   43449    19970630      -0.038557      0.044095      0.043145      0.043453
   43449    19970731       0.112549      0.076514      0.048824      0.078123
   43449    19970829      -0.118233     -0.036290      0.027605     -0.057446
   43449    19970930       0.006605      0.058499      0.081737      0.053154
   43449    19971031      -0.059055     -0.034436     -0.026145     -0.034478
   43449    19971128       0.084128      0.030404     -0.022063      0.044587
   43449    19971231      -0.015464      0.017817     -0.023875      0.015732
   43449    19980130      -0.013089      0.004502      0.015367      0.010150
   43449    19980227       0.159576      0.073303      0.060451      0.070449
   43449    19980331       0.099656      0.051301      0.046884      0.049946
   43449    19980430       0.031250      0.010903      0.023243      0.009076
   43449    19980529       0.062061     -0.025748     -0.042571     -0.018826
   43449    19980630       0.051429      0.031941     -0.029150      0.039438
   43449    19980731      -0.031703     -0.023367     -0.050546     -0.011615
   43449    19980831      -0.154874     -0.157839     -0.196383     -0.145797
   43449    19980930       0.058758      0.063827      0.043248      0.062396
   43449    19981030       0.123560      0.074393      0.037827      0.080294
   43449    19981130       0.046076      0.062024      0.075912      0.059126
   43449    19981231       0.096343      0.063051      0.018861      0.056375
   43449    19990129       0.026037      0.038456      0.064848      0.041009
   43449    19990226       0.078509     -0.038085     -0.042172     -0.032283
   43449    19990331       0.067324      0.037932     -0.001373      0.038794
   43449    19990430      -0.064828      0.049105      0.083900      0.037944
   43449    19990528      -0.090295     -0.020708      0.025134     -0.024970
   43449    19990630       0.068182      0.050820      0.038391      0.054438
   43449    19990730       0.013678     -0.030716      0.007271     -0.032046
   43449    19990831      -0.006327     -0.009987     -0.030607     -0.006254
   43449    19990930       0.045317     -0.022846     -0.014250     -0.028552
   43449    19991029      -0.046243      0.062147     -0.001351      0.062539
   43449    19991130       0.095127      0.036823      0.091409      0.019062
   43449    19991231      -0.106648      0.083758      0.084830      0.057844
   43449    20000131      -0.072868     -0.039612      0.050610     -0.050904
   43449    20000229      -0.153846      0.031777      0.120436     -0.020108
   43449    20000331       0.181818      0.053500     -0.000429      0.096720
   43449    20000428       0.018395     -0.059530     -0.088504     -0.030796
   43449    20000531      -0.059113     -0.038871     -0.057324     -0.021915
   43449    20000630      -0.080279      0.051597      0.079228      0.023934
   43449    20000731      -0.043643     -0.017712     -0.019354     -0.016341
   43449    20000831      -0.051587      0.075007      0.059257      0.060699
   43449    20000929       0.010460     -0.051145     -0.040102     -0.053483
   43449    20001031       0.026915     -0.024492     -0.066807     -0.004949
   43449    20001130       0.035161     -0.102371     -0.118559     -0.080069
   43449    20001229       0.066667      0.020426     -0.007035      0.004053
   43449    20010131      -0.136765      0.039599      0.225012      0.034637
   43449    20010228       0.001704     -0.099099     -0.074508     -0.092291
   43449    20010330      -0.096939     -0.070390     -0.072696     -0.064205
   43449    20010430       0.035782      0.083831      0.076441      0.076814
   43449    20010531       0.101091      0.010458      0.062201      0.005090
   43449    20010629      -0.106341     -0.017554      0.007720     -0.025004
   43449    20010731       0.076866     -0.018294     -0.028407     -0.010772
   43449    20010831       0.030542     -0.058980     -0.035009     -0.064108
   43449    20010928      -0.096237     -0.091488     -0.127801     -0.081723
   43449    20011031      -0.039425      0.027833      0.078105      0.018099
   43449    20011130       0.038166      0.078780      0.080810      0.075176
   43449    20011231      -0.013785      0.017848      0.057742      0.007574
   43449    20020131       0.026823     -0.015977      0.018178     -0.015574
   43449    20020228      -0.039735     -0.021695     -0.033060     -0.020766
   43449    20020328       0.063218      0.044682      0.074666      0.036739
   43449    20020430       0.023423     -0.049617     -0.003169     -0.061418
